+=====================+=====================+=================================================================================================================================================================================================================================================================================================================================================================+
| Launch Setup Clock  | Launch Hold Clock   | Pin                                                                                                                                                                                                                                                                                                                                                             |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_write/inst/mm_video_m_axi_U/store_unit/buff_wdata/U_fifo_mem/mem_reg/REGCEAREGCE                                                                                                                                                                                                                                                                             |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_write/inst/mm_video_m_axi_U/bus_write/wreq_throttle/data_fifo/full_n_reg/D                                                                                                                                                                                                                                                                                   |
| clk_out2_clk_wiz_1  | clk_out2_clk_wiz_1  | u_lcd_top/u_lcd_touch_scanner/write_time_reg[1]/CE                                                                                                                                                                                                                                                                                                              |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/mm_video_m_axi_U/bus_read/rreq_burst_conv/last_sect_reg/D                                                                                                                                                                                                                                                                                          |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/mm_video_m_axi_U/bus_read/rreq_burst_conv/sect_addr_buf_reg[11]/R                                                                                                                                                                                                                                                                                  |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/offset_fu_118_reg[4]/R                                                                                                                                                                                                                                                                          |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/offset_fu_118_reg[5]/R                                                                                                                                                                                                                                                                          |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/offset_fu_118_reg[6]/R                                                                                                                                                                                                                                                                          |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/offset_fu_118_reg[7]/R                                                                                                                                                                                                                                                                          |
| clk_out2_clk_wiz_1  | clk_out2_clk_wiz_1  | u_lcd_top/u_lcd_touch_scanner/stateu_finish_reg/D                                                                                                                                                                                                                                                                                                               |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/Bytes2MultiPixStream_U0/y_fu_128_reg[9]/R                                                                                                                                                                                                                                                                           |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/Bytes2MultiPixStream_U0/y_fu_128_reg[5]/R                                                                                                                                                                                                                                                                           |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/Bytes2MultiPixStream_U0/y_fu_128_reg[6]/R                                                                                                                                                                                                                                                                           |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/Bytes2MultiPixStream_U0/y_fu_128_reg[7]/R                                                                                                                                                                                                                                                                           |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/Bytes2MultiPixStream_U0/y_fu_128_reg[8]/R                                                                                                                                                                                                                                                                           |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/y_fu_114_reg[6]/R                                                                                                                                                                                                                                                                               |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/y_fu_114_reg[7]/R                                                                                                                                                                                                                                                                               |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/y_fu_114_reg[0]/R                                                                                                                                                                                                                                                                               |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/mm_video_m_axi_U/bus_read/rreq_burst_conv/sect_addr_buf_reg[10]/R                                                                                                                                                                                                                                                                                  |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/mm_video_m_axi_U/bus_read/rreq_burst_conv/sect_addr_buf_reg[4]/R                                                                                                                                                                                                                                                                                   |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/mm_video_m_axi_U/bus_read/rreq_burst_conv/sect_addr_buf_reg[7]/R                                                                                                                                                                                                                                                                                   |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/mm_video_m_axi_U/bus_read/rreq_burst_conv/sect_addr_buf_reg[8]/R                                                                                                                                                                                                                                                                                   |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/mm_video_m_axi_U/bus_read/rreq_burst_conv/sect_addr_buf_reg[3]/R                                                                                                                                                                                                                                                                                   |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/mm_video_m_axi_U/bus_read/rreq_burst_conv/sect_addr_buf_reg[9]/R                                                                                                                                                                                                                                                                                   |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/mm_video_m_axi_U/bus_read/rreq_burst_conv/sect_addr_buf_reg[6]/R                                                                                                                                                                                                                                                                                   |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/mm_video_m_axi_U/bus_read/rreq_burst_conv/sect_addr_buf_reg[5]/R                                                                                                                                                                                                                                                                                   |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/offset_fu_118_reg[12]/R                                                                                                                                                                                                                                                                         |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/offset_fu_118_reg[14]/R                                                                                                                                                                                                                                                                         |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/offset_fu_118_reg[15]/R                                                                                                                                                                                                                                                                         |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/offset_fu_118_reg[13]/R                                                                                                                                                                                                                                                                         |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/y_fu_114_reg[5]/R                                                                                                                                                                                                                                                                               |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/y_fu_114_reg[8]/R                                                                                                                                                                                                                                                                               |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/y_fu_114_reg[9]/R                                                                                                                                                                                                                                                                               |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | ps2/inst/PS2_Serial_Port/idle_counter_reg[3]/R                                                                                                                                                                                                                                                                                                                  |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | ps2/inst/PS2_Serial_Port/idle_counter_reg[1]/R                                                                                                                                                                                                                                                                                                                  |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | ps2/inst/PS2_Serial_Port/idle_counter_reg[4]/R                                                                                                                                                                                                                                                                                                                  |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | ps2/inst/PS2_Serial_Port/idle_counter_reg[5]/R                                                                                                                                                                                                                                                                                                                  |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | ps2/inst/PS2_Serial_Port/idle_counter_reg[2]/R                                                                                                                                                                                                                                                                                                                  |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_write/inst/mm_video_m_axi_U/store_unit/buff_wdata/U_fifo_mem/mem_reg/RSTREGARSTREG                                                                                                                                                                                                                                                                           |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/offset_fu_118_reg[10]/R                                                                                                                                                                                                                                                                         |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/offset_fu_118_reg[8]/R                                                                                                                                                                                                                                                                          |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/offset_fu_118_reg[11]/R                                                                                                                                                                                                                                                                         |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/offset_fu_118_reg[9]/R                                                                                                                                                                                                                                                                          |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/offset_fu_118_reg[2]/R                                                                                                                                                                                                                                                                          |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/offset_fu_118_reg[3]/R                                                                                                                                                                                                                                                                          |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/offset_fu_118_reg[1]/R                                                                                                                                                                                                                                                                          |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/offset_fu_118_reg[0]/R                                                                                                                                                                                                                                                                          |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/Bytes2MultiPixStream_U0/y_fu_128_reg[0]/R                                                                                                                                                                                                                                                                           |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/Bytes2MultiPixStream_U0/y_fu_128_reg[1]/R                                                                                                                                                                                                                                                                           |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/Bytes2MultiPixStream_U0/y_fu_128_reg[2]/R                                                                                                                                                                                                                                                                           |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/Bytes2MultiPixStream_U0/y_fu_128_reg[3]/R                                                                                                                                                                                                                                                                           |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/Bytes2MultiPixStream_U0/y_fu_128_reg[4]/R                                                                                                                                                                                                                                                                           |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | ps2/inst/Incoming_Data_FIFO/U0/inst_fifo_gen/gconvfifo.rf/grf.rf/gntv_or_sync_fifo.gl0.rd/gr1.gdcf.dc/dc/count_reg[0]/R                                                                                                                                                                                                                                         |
| clk_25_clk_pll_33   | clk_25_clk_pll_33   | tft/U0/TFT_CTRL_I/LINE_BUFFER_U4/RAM/xpm_fifo_instance.xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst/FSM_onehot_gen_rst_ic.curr_wrst_state_reg[2]/D                                                                                                                                                                                |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | ps2/inst/Incoming_Data_FIFO/U0/inst_fifo_gen/gconvfifo.rf/grf.rf/gntv_or_sync_fifo.gl0.wr/wpntr/gcc0.gc1.gsym.count_reg[3]/R                                                                                                                                                                                                                                    |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | ps2/inst/Incoming_Data_FIFO/U0/inst_fifo_gen/gconvfifo.rf/grf.rf/gntv_or_sync_fifo.gl0.wr/wpntr/gcc0.gc1.gsym.count_d1_reg[3]/R                                                                                                                                                                                                                                 |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | ps2/inst/Incoming_Data_FIFO/U0/inst_fifo_gen/gconvfifo.rf/grf.rf/gntv_or_sync_fifo.gl0.wr/wpntr/gcc0.gc1.gsym.count_reg[4]/R                                                                                                                                                                                                                                    |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | ps2/inst/Incoming_Data_FIFO/U0/inst_fifo_gen/gconvfifo.rf/grf.rf/gntv_or_sync_fifo.gl0.wr/wpntr/gcc0.gc1.gsym.count_reg[5]/R                                                                                                                                                                                                                                    |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | ps2/inst/Incoming_Data_FIFO/U0/inst_fifo_gen/gconvfifo.rf/grf.rf/gntv_or_sync_fifo.gl0.wr/wpntr/gcc0.gc1.gsym.count_d1_reg[1]/R                                                                                                                                                                                                                                 |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | ps2/inst/Incoming_Data_FIFO/U0/inst_fifo_gen/gconvfifo.rf/grf.rf/gntv_or_sync_fifo.gl0.wr/wpntr/gcc0.gc1.gsym.count_d1_reg[0]/S                                                                                                                                                                                                                                 |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | ps2/inst/Incoming_Data_FIFO/U0/inst_fifo_gen/gconvfifo.rf/grf.rf/gntv_or_sync_fifo.gl0.wr/wpntr/gcc0.gc1.gsym.count_d2_reg[1]/R                                                                                                                                                                                                                                 |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | ps2/inst/Incoming_Data_FIFO/U0/inst_fifo_gen/gconvfifo.rf/grf.rf/gntv_or_sync_fifo.gl0.wr/wpntr/gcc0.gc1.gsym.count_d2_reg[3]/R                                                                                                                                                                                                                                 |
| clk_25_clk_pll_33   | clk_25_clk_pll_33   | tft/U0/TFT_CTRL_I/LINE_BUFFER_U4/RAM/xpm_fifo_instance.xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst/FSM_onehot_gen_rst_ic.curr_wrst_state_reg[3]/D                                                                                                                                                                                |
| clk_25_clk_pll_33   | clk_25_clk_pll_33   | tft/U0/TFT_CTRL_I/LINE_BUFFER_U4/RAM/xpm_fifo_instance.xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst/gen_rst_ic.wr_rst_busy_ic_reg/D                                                                                                                                                                                               |
| clk_out1_clk_wiz_1  | clk_out1_clk_wiz_1  | u_lcd_top/u_lcd_ctrl/s_rdata_reg[31]/D                                                                                                                                                                                                                                                                                                                          |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/Bytes2MultiPixStream_U0/grp_Bytes2MultiPixStream_Pipeline_VITIS_LOOP_1365_1_fu_150/ap_enable_reg_pp0_iter1_reg/D                                                                                                                                                                                                    |
| clk_out2_clk_wiz_1  | clk_out2_clk_wiz_1  | u_lcd_top/u_lcd_touch_scanner/delay_sel_reg/S                                                                                                                                                                                                                                                                                                                   |
| clk_out2_clk_wiz_1  | clk_out2_clk_wiz_1  | u_lcd_top/u_lcd_touch_scanner/state_finish_reg/R                                                                                                                                                                                                                                                                                                                |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/grp_AXIMMvideo2Bytes_Pipeline_VITIS_LOOP_489_1_fu_160/flow_control_loop_pipe_sequential_init_U/ap_loop_init_int_reg/D                                                                                                                                                                           |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/MultiPixStream2AXIvideo_U0/ap_done_reg_reg/D                                                                                                                                                                                                                                                                        |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/ap_sync_reg_grp_FrmbufRdHlsDataFlow_fu_162_ap_done_reg/D                                                                                                                                                                                                                                                                                           |
| clk_25_clk_pll_33   | clk_25_clk_pll_33   | tft/U0/TFT_CTRL_I/LINE_BUFFER_U4/RAM/xpm_fifo_instance.xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst/FSM_onehot_gen_rst_ic.curr_wrst_state_reg[4]/D                                                                                                                                                                                |
| clk_25_clk_pll_33   | clk_25_clk_pll_33   | tft/U0/TFT_CTRL_I/LINE_BUFFER_U4/RAM/xpm_fifo_instance.xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst/FSM_onehot_gen_rst_ic.curr_wrst_state_reg[0]/D                                                                                                                                                                                |
| clk_25_clk_pll_33   | clk_25_clk_pll_33   | tft/U0/TFT_CTRL_I/LINE_BUFFER_U4/RAM/xpm_fifo_instance.xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst/gen_rst_ic.fifo_wr_rst_ic_reg/D                                                                                                                                                                                               |
| clk_25_clk_pll_33   | clk_25_clk_pll_33   | tft/U0/TFT_CTRL_I/LINE_BUFFER_U4/RAM/xpm_fifo_instance.xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst/FSM_onehot_gen_rst_ic.curr_wrst_state_reg[1]/D                                                                                                                                                                                |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/MultiPixStream2AXIvideo_U0/grp_MultiPixStream2AXIvideo_Pipeline_VITIS_LOOP_341_1_fu_142/ap_loop_exit_ready_pp0_iter1_reg_reg/D                                                                                                                                                                                      |
| clk_25_clk_pll_33   | clk_25_clk_pll_33   | tft/U0/TFT_CTRL_I/LINE_BUFFER_U4/RAM/xpm_fifo_instance.xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst/gen_rst_ic.rst_seq_reentered_reg/D                                                                                                                                                                                            |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_write/inst/grp_FrmbufWrHlsDataFlow_fu_160/AXIvideo2MultiPixStream_U0/grp_AXIvideo2MultiPixStream_Pipeline_loop_width_fu_166/flow_control_loop_pipe_sequential_init_U/ap_loop_init_int_reg/D                                                                                                                                                                  |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/MultiPixStream2AXIvideo_U0/grp_MultiPixStream2AXIvideo_Pipeline_VITIS_LOOP_341_1_fu_142/flow_control_loop_pipe_sequential_init_U/ap_loop_init_int_reg/D                                                                                                                                                             |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_write/inst/grp_FrmbufWrHlsDataFlow_fu_160/AXIvideo2MultiPixStream_U0/grp_AXIvideo2MultiPixStream_Pipeline_loop_width_fu_166/ap_enable_reg_pp0_iter1_reg/D                                                                                                                                                                                                    |
| clk_25_clk_pll_33   | clk_25_clk_pll_33   | tft/U0/TFT_CTRL_I/LINE_BUFFER_U4/RAM/xpm_fifo_instance.xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/gen_pf_ic_rc.gen_full_rst_val.ram_full_i_reg/D                                                                                                                                                                                                  |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/grp_FrmbufRdHlsDataFlow_fu_162/AXIMMvideo2Bytes_U0/grp_AXIMMvideo2Bytes_Pipeline_VITIS_LOOP_489_1_fu_160/ap_enable_reg_pp0_iter1_reg/D                                                                                                                                                                                                             |
| clk_out2_clk_pll_33 | clk_100_clk_pll_33  | fb_write/inst/regslice_both_s_axis_video_V_user_V_U/B_V_data_1_state_reg[0]/D                                                                                                                                                                                                                                                                                   |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | fb_read/inst/mm_video_m_axi_U/load_unit/buff_rdata/full_n_reg/D                                                                                                                                                                                                                                                                                                 |
| clk_out2_clk_wiz_1  | clk_out2_clk_wiz_1  | u_lcd_top/u_lcd_touch_scanner/trans_count_reg[0]/S                                                                                                                                                                                                                                                                                                              |
| clk_out2_clk_wiz_1  | clk_out2_clk_wiz_1  | u_lcd_top/u_lcd_touch_scanner/trans_count_reg[1]/S                                                                                                                                                                                                                                                                                                              |
| clk_out2_clk_wiz_1  | clk_out2_clk_wiz_1  | u_lcd_top/u_lcd_touch_scanner/trans_count_reg[2]/S                                                                                                                                                                                                                                                                                                              |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | stream_ctl/inst/ctl_reg1_sync_reg[19]/D                                                                                                                                                                                                                                                                                                                         |
| clk_out2_clk_wiz_1  | clk_out2_clk_wiz_1  | u_lcd_top/u_lcd_touch_scanner/rword_buffer_reg[19]/R                                                                                                                                                                                                                                                                                                            |
| clk_out2_clk_pll_33 | clk_out2_clk_pll_33 | stream_ctl/inst/ctl_reg1_sync_reg[15]/D                                                                                                                                                                                                                                                                                                                         |
